Nation Name,flag,Themes,Hatchy Culture,Description,Political Conflict,Conflict leading to Corruption,story
The Artarian,FALSE,wartorn remnants of a once great empire,collaborative,"scattered ancient race, some oral tradition and history preserved by elders","mostly tribal nomadic peoples, scattered around the plains and the pirate nation ports","trying to get to their former glory, some of the noble families turn on the elders and the others trading secrets for power","once from the prophets people united people, they are divided and the city is destroyed under the great inland sea, 

most inhabitants are scattered now around ixor and other locations"
pirate nation,FALSE,,"exploitative
respectful
collaborative","rough port town location full of rogue gypsy like pirates

some of the inhabitants are scattered remnants of the ancient peoples, with some small stories managing to survive amongst the elders who somehow can still maintain some order in and around the chaotic ports and tribalistic pirates","barely loyalty to anyone, the pirates are known to even fight amongst themselves for power or loot","one of the clans are secretly working as double agents, informing the network of the teams wherabouts causing a battle in the isles",
The Confederacy of Thorn,FALSE,- nomadic spiritual tribes,"respectful
collaborative",,"The Confederacy of Thorn is made up of several tribes of druidic summoners, who live in harmony with nature and the spirits of their ancestors. However, a group of extremist summoners believe that the spirits are not doing enough to protect their people, and have started experimenting with the corruption to gain more power.","The extremist summoners' use of the corruption has disrupted the balance of nature, causing natural disasters and turning once-peaceful animals into undead monsters. As the Confederacy becomes more divided, the extremist group gains more power and starts to take over the other tribes.",
Ashul,FALSE,nomadic warring tribes,"collaborative
exploitative","A harsh, desert land ruled by a powerful warlord who has united many warring tribes under his banner.","The warlord's brutal tactics and demands for tribute have sparked a rebellion among some of the tribes, who seek to overthrow his rule and establish their own independence.","Desperate to crush the rebellion and reassert his authority, the warlord unleashes the Corruption on the rebel leaders, but the magic quickly spreads and infects much of the population, creating a massive army of undead that threatens to engulf the entire region.",
northern,FALSE,,,,,,
The Republic of Ironclad,FALSE,fortress city,,,"The Republic of Ironclad has long been a major exporter of iron and steel, but a recent discovery of a rare mineral in their territory has led to tensions with neighboring nations. The government is willing to do whatever it takes to protect their interests, including making deals with dark entities.","The corruption has seeped into the Republic's government and military, turning them into a ruthless and undead-controlled regime. As the nation becomes more and more unstable, neighboring nations start to prepare for war.",
Drakonia,FALSE,- esoteric artefact fued,,,Two powerful mage families feud over control of a valuable magical artifact,One family uses corruption to summon undead creatures and turn the tide of the conflict,
Selvador,FALSE,"- revolution
- forced governance",,,A rebellion seeks to overthrow the corrupt monarchy,The rebellion uses corruption to summon undead soldiers to aid in their fight,
Eziria,TRUE,"- forced governance
- natural resource control",,,The central government attempts to assert control over various regional governments,The regional governments turn to corruption to bolster their military strength and resist central control,
Norlund,FALSE,,,"A frozen tundra populated by hardy, isolated communities that have developed their own distinct cultures and traditions.","A new railroad project linking Norlund to other parts of the continent has sparked a wave of immigration and economic development, but has also threatened the traditional ways of life and autonomy of the local communities.","In a bid to protect their land and culture, a group of Norlundic shamans unleash the Corruption on the railroad construction crews and the immigrants, but the magic quickly spreads and infects much of the population, creating a massive army of undead that threatens to overrun the region.","there is a battle between all the regions to assert some control in this region to get access to the resources, 

political tensions escalate due to the need for resources"
,,,,,,,
,,,,,,,
,,,,,,,
southern and islands,,,,,,,
oria,FALSE,,,,"The royal family is divided over the throne succession, leading to a civil war",One faction attempts to use corruption to gain an advantage and ends up unleashing it,
Kethar,FALSE,,,A highly centralized monarchy with a strong tradition of magic and scholarship.,"The queen's ambitious reform program has sparked widespread resentment among the nobility and the conservative clergy, who fear that their privileges and influence are under threat.","In a bid to crush the rebellion and consolidate her power, the queen unleashes the Corruption on the rebels and their supporters, but the magic quickly spreads and infects much of the royal court, turning them into undead monsters that hunt the living with terrifying efficiency.",the second greatest power in the region
Norland,FALSE,,,,A religious sect gains political power and begins imposing their beliefs on the rest of the nation,the sect is using the ,
Kaltoria,FALSE,"taken under eziria, fighting for independence",,,A separatist movement seeks independence from the central government(eziria),The separatists turn to corruption to summon undead soldiers for their cause,
Astoria,FALSE,,,,"The ruling class hoards resources while the lower classes suffer from poverty and disease, causing a group of revolutionaries to rise up against them",the ruling class resort to tactics trying to turn the people against the rebels,
Orendor,TRUE,mining - expats/immigrants - displacement etc,,"A vast, rugged frontier region with a diverse population of humans, dwarves, and elves.","The kingdom's resources are being rapidly depleted by a mining boom that has attracted large numbers of outsiders, sparking conflict with indigenous communities and straining the government's ability to maintain order.","A powerful dwarf clan seeking to monopolize the region's rich mineral deposits unleashes the Corruption as a weapon of war, but it quickly spirals out of control and infects much of the local population, creating a massive undead army that threatens to overrun the kingdom.",
The Kingdom of Arktos,FALSE,,,,"The queen of Arktos is obsessed with finding a way to bring back her deceased husband, and has hired a team of rogue summoners to help her. However, her actions are causing a rift between her and her people, who believe that death should be respected.","The rogue summoners, desperate to succeed in their mission, have turned to using the corruption. But as they continue to use it, they become more and more undead-like, leading to a civil war within Arktos.",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,FALSE,Alazaar's Foragia,,,,,
,,,,,,,
The Communal Empire,FALSE,zombie corrupted landscape,,corrupted lands,The ruling class of nobles practice forbidden alchemy and necromancy seeking to expand their influence and territory,"The empire's necromancers have been experimenting with taboo magic to create a more powerful undead army, but the corruption is spreading out of control and turning the living into mindless zombies.",
